Date,Open,High,Low,Close,Adj Close,Volume,IV30,,,,
14/6/2019,1864,1876,1859,1869.670044,1869.670044,2851200,26.51,,,,
17/6/2019,1876.5,1895.689941,1875.449951,1886.030029,1886.030029,2634300,25.15,,,,
18/6/2019,1901.349976,1921.670044,1899.790039,1901.369995,1901.369995,3895700,25.45,,,,
19/6/2019,1907.839966,1919.579956,1892.469971,1908.790039,1908.790039,2895300,24.61,,,,
20/6/2019,1933.329956,1935.199951,1905.800049,1918.189941,1918.189941,3217200,26.14,,,,
21/6/2019,1916.099976,1925.949951,1907.579956,1911.300049,1911.300049,3933600,25.74,,,,
24/6/2019,1912.660034,1916.859985,1901.300049,1913.900024,1913.900024,2283000,26.22,,,,
25/6/2019,1911.839966,1916.390015,1872.420044,1878.27002,1878.27002,3012300,28.93,,,,
26/6/2019,1892.47998,1903.800049,1887.319946,1897.829956,1897.829956,2441900,27.72,,,,
27/6/2019,1902,1911.23999,1898.040039,1904.280029,1904.280029,2141700,27.52,,,,
28/6/2019,1909.099976,1912.939941,1884,1893.630005,1893.630005,3037400,27.82,,,,
1/7/2019,1922.97998,1929.819946,1914.660034,1922.189941,1922.189941,3192100,25.75,,,,
2/7/2019,1919.380005,1934.790039,1906.630005,1934.310059,1934.310059,2645900,26.09,,,,
3/7/2019,1935.890015,1941.589966,1930.5,1939,1939,1690300,24.91,,,,
5/7/2019,1928.599976,1945.900024,1925.300049,1942.910034,1942.910034,2628400,26.07,,,,
8/7/2019,1934.119995,1956,1928.25,1952.319946,1952.319946,2883400,27.18,,,,
9/7/2019,1947.800049,1990.01001,1943.47998,1988.300049,1988.300049,4345700,28.18,,,,
10/7/2019,1996.51001,2024.939941,1995.400024,2017.410034,2017.410034,4931900,27.22,,,,
11/7/2019,2025.619995,2035.800049,1995.300049,2001.069946,2001.069946,4317800,27.7,,,,
12/7/2019,2008.27002,2017,2003.869995,2011,2011,2509300,27.11,,,,
15/7/2019,2021.400024,2022.900024,2001.550049,2020.98999,2020.98999,2981300,27.37,,,,
16/7/2019,2010.579956,2026.319946,2001.219971,2009.900024,2009.900024,2618200,27.34,,,,
17/7/2019,2007.050049,2012,1992.030029,1992.030029,1992.030029,2558800,27.78,,,,
18/7/2019,1980.01001,1987.5,1951.550049,1977.900024,1977.900024,3486900,28.49,,,,
19/7/2019,1991.209961,1996,1962.22998,1964.52002,1964.52002,3185600,28.51,,,,
22/7/2019,1971.140015,1989,1958.26001,1985.630005,1985.630005,2900000,28.17,,,,
23/7/2019,1995.98999,1997.790039,1973.130005,1994.48999,1994.48999,2703500,27.7,,,,
24/7/2019,1969.300049,2001.300049,1965.869995,2000.810059,2000.810059,2631300,27.06,,,,
25/7/2019,2001,2001.199951,1972.719971,1973.819946,1973.819946,4136500,26.83,,,,
26/7/2019,1942,1950.900024,1924.51001,1943.050049,1943.050049,4927100,22.32,,,,
29/7/2019,1930,1932.22998,1890.540039,1912.449951,1912.449951,4493200,23.77,,,,
30/7/2019,1891.119995,1909.890015,1883.47998,1898.530029,1898.530029,2910900,24.14,,,,
31/7/2019,1898.109985,1899.550049,1849.439941,1866.780029,1866.780029,4470700,24.92,,,,
1/8/2019,1871.719971,1897.920044,1844.01001,1855.319946,1855.319946,4713300,27.29,,,,
2/8/2019,1845.069946,1846.359985,1808.02002,1823.23999,1823.23999,4956200,29.23,,,,
5/8/2019,1770.219971,1788.670044,1748.780029,1765.130005,1765.130005,6058200,36.31,,,,
6/8/2019,1792.22998,1793.77002,1753.400024,1787.829956,1787.829956,5070300,30.53,,,,
7/8/2019,1773.98999,1798.930054,1757,1793.400024,1793.400024,4526900,31.25,,,,
8/8/2019,1806,1834.26001,1798.109985,1832.890015,1832.890015,3701200,27.2,,,,
9/8/2019,1828.949951,1831.089966,1802.219971,1807.579956,1807.579956,2879800,28.86,,,,
12/8/2019,1795.98999,1800.97998,1777,1784.920044,1784.920044,2905500,32.46,,,,
13/8/2019,1783,1831.73999,1780,1824.339966,1824.339966,3994000,26.01,,,,
14/8/2019,1793.01001,1795.650024,1757.219971,1762.959961,1762.959961,4893600,33.92,,,,
15/8/2019,1781.98999,1788,1761.959961,1776.119995,1776.119995,3759100,30.43,,,,
16/8/2019,1792.890015,1802.910034,1784.550049,1792.569946,1792.569946,3018000,26.94,,,,
19/8/2019,1818.079956,1826,1812.609985,1816.119995,1816.119995,2816300,25.07,,,,
20/8/2019,1814.5,1816.819946,1799.880005,1801.380005,1801.380005,1929500,26.8,,,,
21/8/2019,1819.390015,1829.579956,1815,1823.540039,1823.540039,2031800,24.66,,,,
22/8/2019,1828,1829.410034,1800.099976,1804.660034,1804.660034,2653500,25.96,,,,
23/8/2019,1793.030029,1804.900024,1745.22998,1749.619995,1749.619995,5270800,28.89,,,,
26/8/2019,1766.910034,1770,1743.51001,1768.869995,1768.869995,3080000,28.19,,,,
27/8/2019,1775.72998,1779.400024,1746.680054,1761.829956,1761.829956,3019700,29.17,,,,
28/8/2019,1755,1767.859985,1744.050049,1764.25,1764.25,2419700,27.74,,,,
29/8/2019,1783,1798.550049,1777.25,1786.400024,1786.400024,3015100,25.53,,,,
30/8/2019,1797.48999,1799.73999,1764.569946,1776.290039,1776.290039,3058700,25.88,,,,
3/9/2019,1770,1800.800049,1768,1789.839966,1789.839966,3543000,28.07,,,,
4/9/2019,1805,1807.630005,1796.22998,1800.619995,1800.619995,2324100,25.91,,,,
5/9/2019,1821.949951,1842,1815.579956,1840.719971,1840.719971,3310800,23.88,,,,
6/9/2019,1838.219971,1840.650024,1826.400024,1833.51001,1833.51001,2496900,23.86,,,,
9/9/2019,1841,1850,1824.609985,1831.349976,1831.349976,2999500,24.35,,,,
10/9/2019,1822.75,1825.810059,1805.339966,1820.550049,1820.550049,2613900,24.24,,,,
11/9/2019,1812.140015,1833.420044,1809.079956,1822.98999,1822.98999,2432800,22.98,,,,
12/9/2019,1837.630005,1853.660034,1834.280029,1843.550049,1843.550049,2823500,22.83,,,,
13/9/2019,1842.01001,1846.119995,1835.170044,1839.339966,1839.339966,1971300,22.24,,,,
16/9/2019,1824.02002,1825.689941,1800.199951,1807.839966,1807.839966,3675500,23.82,,,,
17/9/2019,1807.079956,1823.98999,1804.099976,1822.550049,1822.550049,1982400,22.89,,,,
18/9/2019,1817.040039,1822.060059,1795.5,1817.459961,1817.459961,2505600,23.54,,,,
19/9/2019,1821.02002,1832.569946,1817.900024,1821.5,1821.5,2031500,22.8,,,,
20/9/2019,1821.709961,1830.630005,1780.920044,1794.160034,1794.160034,5341900,24.4,,,,
23/9/2019,1777,1792.699951,1767.319946,1785.300049,1785.300049,2922300,25.72,,,,
24/9/2019,1790.609985,1795.709961,1735.550049,1741.609985,1741.609985,4616000,28.65,,,,
25/9/2019,1747.359985,1773,1723,1768.329956,1768.329956,3493200,26.54,,,,
26/9/2019,1762.790039,1763.369995,1731.5,1739.839966,1739.839966,3536800,27.3,,,,
27/9/2019,1748,1749.119995,1713.819946,1725.449951,1725.449951,3907200,28.3,,,,
30/9/2019,1726.98999,1737.459961,1709.219971,1735.910034,1735.910034,2644700,28.4,,,,
1/10/2019,1746,1755.599976,1728.410034,1735.650024,1735.650024,3084500,30.71,,,,
2/10/2019,1727.73999,1728.890015,1705,1713.22998,1713.22998,3301100,31.53,,,,
3/10/2019,1713,1725,1685.060059,1724.420044,1724.420044,3468200,30.15,,,,
4/10/2019,1726.02002,1740.579956,1719.22998,1739.650024,1739.650024,2471900,27.54,,,,
7/10/2019,1731.630005,1747.829956,1723.699951,1732.660034,1732.660034,2154700,28.26,,,,
8/10/2019,1722.48999,1727,1705,1705.51001,1705.51001,2542000,31.44,,,,
9/10/2019,1719.609985,1729.949951,1714.359985,1721.98999,1721.98999,2043500,29.79,,,,
10/10/2019,1725.23999,1738.290039,1713.75,1720.26001,1720.26001,2575200,29.46,,,,
11/10/2019,1742.920044,1745.449951,1729.859985,1731.920044,1731.920044,3255000,28,,,,
14/10/2019,1728.910034,1741.890015,1722,1736.430054,1736.430054,1910200,29.08,,,,
15/10/2019,1742.140015,1776.449951,1740.619995,1767.380005,1767.380005,3111700,27.83,,,,
